;CL=F.Open;CL=F.High;CL=F.Low;CL=F.Close;CL=F.Volume;CL=F.Adjusted
23/08/2000;31.950001;32.799999;31.950001;32.049999;79385;32.049999
24/08/2000;31.9;32.240002;31.4;31.629999;72978;31.629999
25/08/2000;31.700001;32.099998;31.32;32.049999;44601;32.049999
28/08/2000;32.040001;32.919998;31.860001;32.869999;46770;32.869999
29/08/2000;32.82;33.029999;32.560001;32.720001;49131;32.720001
30/08/2000;32.75;33.400002;32.099998;33.400002;79214;33.400002
31/08/2000;33.25;33.700001;32.970001;33.099998;56895;33.099998
01/09/2000;33.049999;33.450001;32.75;33.380001;45869;33.380001
04/09/2000;NA;NA;NA;NA;NA;NA
05/09/2000;33.950001;33.990002;33.419998;33.799999;55722;33.799999
06/09/2000;33.990002;34.950001;33.830002;34.950001;74692;34.950001
07/09/2000;34.5;35.5;34.450001;35.330002;74105;35.330002
08/09/2000;34.549999;34.779999;33.400002;33.700001;88415;33.700001
11/09/2000;33.799999;35.849998;33.75;35.099998;101518;35.099998
12/09/2000;35.450001;35.5;34.099998;34.200001;91911;34.200001
13/09/2000;34;34.740002;33.5;33.799999;94630;33.799999
14/09/2000;33.779999;34.5;33.119999;34.099998;98068;34.099998
15/09/2000;34.5;36.099998;34.450001;35.849998;85839;35.849998
18/09/2000;36.200001;37.150002;36.150002;36.880001;59663;36.880001
19/09/2000;36.549999;37;36.150002;36.5;62731;36.5
20/09/2000;37.5;37.799999;36.5;37.5;119080;37.5
21/09/2000;34.650002;35.5;33.349998;33.950001;110851;33.950001
22/09/2000;34;34.400002;32.5;32.650002;85083;32.650002
25/09/2000;31.4;32.099998;31.049999;31.57;104683;31.57
26/09/2000;32;32.049999;31.4;31.5;67727;31.5
27/09/2000;31.950001;32.25;31.4;31.5;86160;31.5
28/09/2000;31.1;32.419998;30.25;30.299999;77513;30.299999
29/09/2000;30.700001;30.950001;30.15;30.860001;57628;30.860001
02/10/2000;31.450001;32.349998;31.35;32.150002;59618;32.150002
03/10/2000;32;32.32;31.690001;32.07;48238;32.07
04/10/2000;31.6;31.9;31.299999;31.5;58088;31.5
05/10/2000;30.85;30.950001;30.17;30.65;97911;30.65
06/10/2000;30.75;30.959999;30.549999;30.85;46276;30.85
09/10/2000;31.549999;31.92;31.23;31.879999;51647;31.879999
10/10/2000;32.25;33.25;32.23;33.150002;78801;33.150002
